payment_id,requested_at,organization_id,wallet_id,agent_id,agent_type,flow_type,use_case,counterparty_id,counterparty_type,county,town,rail,amount_kes,fee_kes,status,human_approval_required,risk_score,risk_reason,authorization_latency_ms,policy_version,wallet_balance_before_kes,wallet_balance_after_kes,invoice_id,decision_model
APY0000001,2026-06-13 07:47:17,ORG0088,WAL055,AGT0173,procurement_agent,A2A,Construction contractor,CP0143,Merchant,Nairobi,Kilimani,M-Pesa B2C,5030.6,50.74,Completed,False,0.202,none,1129,4,70637.0,65555.66,INV-55082,apm-kenya-v1
APY0000002,2026-06-04 09:02:46,ORG0098,WAL013,AGT0187,property_manager_agent,A2C,School fee payment,CP0143,Consumer,Kiambu,Thika,M-Pesa B2C,1455.97,23.54,Flagged,False,0.084,high_velocity,938,3,186830.02,186830.02,INV-44993,apm-kenya-v1
APY0000003,2026-06-29 19:41:04,ORG0168,WAL028,AGT0235,property_manager_agent,A2B,Logistics delivery,CP0256,Consumer,Kisumu,Milimani,M-Pesa B2C,4476.37,57.99,Reversed,False,0.043,unusual_county,1233,2,164296.44,164296.44,INV-83579,apm-kenya-v2
APY0000004,2026-05-18 09:37:27,ORG0165,WAL035,AGT0223,property_manager_agent,A2B,Market restocking,CP0175,Agent Service,Meru,Maua,M-Pesa Till,774.25,11.36,Completed,False,0.143,none,394,1,53505.35,52719.74,,rules_engine_only
APY0000005,2026-07-04 09:32:48,ORG0062,WAL008,AGT0044,travel_agent,A2C,Agritech produce purchase,CP0291,Agent Service,Nairobi,Westlands,Bank EFT,3017.87,42.09,Completed,False,0.22,none,2845,1,379310.28,376250.32,,apm-kenya-v1
APY0000006,2026-05-17 16:08:42,ORG0058,WAL032,AGT0118,finance_ops_agent,A2B,Construction contractor,CP0033,Contractor,Nakuru,Nakuru Town,Bank EFT,6354.86,104.93,Completed,False,0.119,none,3483,1,141853.37,135393.58,INV-92719,apm-kenya-v1
APY0000007,2026-01-16 09:57:02,ORG0166,WAL084,AGT0174,farm_supply_agent,A2B,Agritech produce purchase,CP0051,Clinic,Kajiado,Kitengela,Airtel Money,1951.31,33.11,Completed,False,0.069,none,983,1,33638.94,31654.52,INV-34931,rules_engine_only
APY0000008,2026-05-18 12:27:11,ORG0117,WAL034,AGT0250,property_manager_agent,A2C,SME invoice settlement,CP0147,Contractor,Mombasa,Likoni,M-Pesa PayBill,13294.92,239.16,Completed,False,0.212,none,729,3,174972.92,161438.84,INV-17665,apm-kenya-v2
APY0000009,2026-05-29 16:03:47,ORG0169,WAL054,AGT0162,logistics_agent,A2B,Construction contractor,CP0299,Contractor,Mombasa,Nyali,Bank EFT,7350.53,132.83,Completed,False,0.157,none,2072,3,230438.5,222955.14,INV-61876,apm-kenya-v1
APY0000010,2026-02-03 15:19:29,ORG0171,WAL002,AGT0054,property_manager_agent,A2B,Freelance data labelling,CP0419,Consumer,Mombasa,Nyali,Stablecoin USDC,1803.94,30.54,Flagged,False,0.071,unusual_county,125,1,226294.89,226294.89,,rules_engine_only
APY0000011,2026-07-10 14:17:18,ORG0010,WAL070,AGT0076,marketplace_agent,A2B,Agritech produce purchase,CP0190,Contractor,Kisumu,Maseno,M-Pesa Till,2329.98,41.19,Reversed,False,0.17,unusual_county,410,1,237178.73,237178.73,INV-15229,apm-kenya-v1
APY0000012,2026-04-02 08:15:42,ORG0098,WAL014,AGT0114,property_manager_agent,A2C,School fee payment,CP0020,Clinic,Nairobi,Karen,Stablecoin USDC,1989.32,29.44,Completed,False,0.135,none,107,4,344851.37,342832.61,INV-39831,rules_engine_only
APY0000013,2026-02-27 02:12:25,ORG0131,WAL078,AGT0098,logistics_agent,A2C,Agritech produce purchase,CP0060,Merchant,Mombasa,Nyali,M-Pesa PayBill,3095.67,47.98,Completed,False,0.11,none,859,4,160226.22,157082.57,INV-80575,apm-kenya-v2
APY0000014,2026-06-25 16:47:47,ORG0045,WAL087,AGT0208,finance_ops_agent,A2B,Clinic supplies,CP0316,Clinic,Uasin Gishu,Moi Bridge,Airtel Money,11484.34,116.15,Completed,False,0.135,none,1965,1,231951.05,220350.56,INV-37549,apm-kenya-v2
APY0000015,2026-04-21 16:38:41,ORG0107,WAL059,AGT0197,marketplace_agent,A2B,Logistics delivery,CP0323,Agent Service,Mombasa,Mtwapa,M-Pesa Till,7258.51,47.47,Flagged,False,0.199,kyb_pending,649,2,234511.65,234511.65,INV-10726,apm-kenya-v1
APY0000016,2026-07-12 18:56:06,ORG0110,WAL065,AGT0082,travel_agent,A2B,Construction contractor,CP0281,Clinic,Machakos,Athi River,M-Pesa Till,12447.7,51.45,Completed,False,0.247,none,483,4,183906.31,171407.16,INV-42406,rules_engine_only
APY0000017,2026-06-13 09:49:33,ORG0150,WAL050,AGT0195,marketplace_agent,A2B,SME invoice settlement,CP0357,Merchant,Nakuru,Naivasha,PesaLink,5379.15,35.69,Completed,False,0.124,none,2258,3,17617.46,12202.62,INV-61116,apm-kenya-v2
APY0000018,2026-04-18 13:47:34,ORG0145,WAL076,AGT0220,property_manager_agent,A2B,Agritech produce purchase,CP0340,Clinic,Kajiado,Kitengela,M-Pesa PayBill,1196.56,15.4,Completed,False,0.139,none,1179,4,20569.8,19357.84,INV-44099,apm-kenya-v2
APY0000019,2026-04-08 10:29:20,ORG0095,WAL033,AGT0059,farm_supply_agent,A2B,School fee payment,CP0086,Clinic,Mombasa,Mtwapa,M-Pesa PayBill,1716.78,24.89,Completed,False,0.072,none,560,2,246298.15,244556.48,,rules_engine_only
APY0000020,2026-01-28 14:59:19,ORG0170,WAL055,AGT0175,procurement_agent,A2B,Logistics delivery,CP0190,Clinic,Kisumu,Kondele,M-Pesa B2C,5755.68,20.9,Completed,False,0.532,mismatched_invoice,421,4,36893.13,31116.55,,rules_engine_only
APY0000021,2026-01-28 12:23:40,ORG0119,WAL032,AGT0195,logistics_agent,A2A,School fee payment,CP0292,Merchant,Meru,Maua,M-Pesa B2C,3229.39,38.28,Failed,False,0.426,mismatched_invoice,1428,4,248029.36,248029.36,,apm-kenya-v2
